fecha,id_partido,equipo_local,equipo_visitante,prob_yrfi_predicha,prob_local_anota,prob_visitante_anota,game_yrfi_real,home_yrfi_target,away_yrfi_target,prediction,prediccion_local,prediccion_visitante
2025-05-16,777908,111,144,0.79792106,0.6305828,0.45297897,0,0,0,1,1,0
2025-05-16,777903,146,139,0.8301182,0.79247814,0.18137875,1,1,0,1,1,0
2025-05-16,777904,147,121,0.6022973,0.09019805,0.56286895,0,0,0,1,0,1
2025-05-16,777905,143,134,0.913283,0.76525503,0.6305906,0,0,0,1,1,1
2025-05-17,777881,112,145,0.86750287,0.82633054,0.23707287,1,0,1,1,1,0
2025-05-17,777895,140,117,0.76937926,0.44119173,0.587299,0,0,0,1,0,1
2025-05-17,777898,158,142,0.64334047,0.32485414,0.47172967,1,0,1,1,0,0
2025-05-17,777897,109,115,0.5793587,0.32914045,0.37298155,0,0,0,1,0,0
2025-05-17,777896,135,136,0.70890474,0.30277336,0.58249545,1,0,1,1,0,1
2025-05-17,777899,119,108,0.86538047,0.74032474,0.48158512,1,0,1,1,1,0
2025-05-17,777888,147,121,0.4941939,0.20060606,0.3672631,0,0,0,0,0,0
2025-05-17,777889,146,139,0.66706395,0.62940824,0.101609774,0,0,0,1,1,0
2025-05-17,777891,137,133,0.5255412,0.30169693,0.3205546,0,0,0,0,0,0
2025-05-17,777890,110,120,0.7610513,0.59735596,0.40655103,1,0,1,1,1,0
2025-05-17,777894,143,134,0.36429346,0.20020546,0.2051627,1,1,0,0,0,0
2025-05-17,777892,113,114,0.66980594,0.18020424,0.597224,0,0,0,1,0,1
